address,zipcode,price,housing_type,status,layout,link
"4225 W Augusta Boulevard, Chicago, IL 60651",60651,"$680,000",Multi Family,Active,"['8BEDS', '4TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12215899/Chicago/4225-W-Augusta-Boulevard
"757 N Orleans Street 804, Chicago, IL 60654",60654,"$399,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,181SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254123/Chicago/757-N-Orleans-Street-804
"303 W Ohio Street 3309, Chicago, IL 60654 Silver Tower Subdivision",60654,"$329,000",Condominium,Active,"['1BED', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12223562/Chicago/303-W-Ohio-Street-3309
"300 N State Street 4135, Chicago, IL 60654 Marina Towers Subdivision",60654,"$280,000",Condominium,Active,"['1BED', '1TOTAL BATH', '725SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12222090/Chicago/300-N-State-Street-4135
"333 W Hubbard Street 505, Chicago, IL 60654 Union Square Lofts Subdivision",60654,"$425,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,184SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12221588/Chicago/333-W-Hubbard-Street-505
"345 N La Salle Drive 906, Chicago, IL 60654",60654,"$420,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12212697/Chicago/345-N-La-Salle-Drive-906
"333 W Hubbard Street 1006, Chicago, IL 60654 Union Square Lofts Subdivision",60654,"$1,975,000",Condominium,Active,"['3BEDS', '4TOTAL BATHS', '5,020SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219846/Chicago/333-W-Hubbard-Street-1006
"400 N Orleans Street 5E, Chicago, IL 60654",60654,"$1,000,000",Condominium,Active Under Contract,"['2BEDS', '4TOTAL BATHS', '2,700SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12217910/Chicago/400-N-Orleans-Street-5E
"225 W Huron Street 409, Chicago, IL 60654",60654,"$249,000",Condominium,Active,"['1BED', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12214896/Chicago/225-W-Huron-Street-409
"333 W Hubbard Street 221, Chicago, IL 60654",60654,"$329,000",Condominium,Active,"['1BED', '1TOTAL BATH', '1,017SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219022/Chicago/333-W-Hubbard-Street-221
"545 N Dearborn Street 1804, Chicago, IL 60654",60654,"$275,000",Condominium,Active,"['1BED', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12218158/Chicago/545-N-Dearborn-Street-1804
